dir,file,model,seed,train_batch_size,n_users,hr10,coverage,ild_first_level,ild_second_level,ild_kuairand_tag,nocat_first_level,nocat_second_level,nocat_kuairand_tag
modal,CAFREC_kuairand_pure_ctx_noprof_topk_s2021_seed2021_20260815-161023.json,CAFREC,2021,,22912,0.0795,0.23730929264909847,0.8056186437606812,0.886774480342865,0.7877010703086853,3.928072625698324e-05,0.18092266061452514,0.0028718575418994413
modal,CAFREC_kuairand_pure_ctx_noprof_topk_s403092_seed403092_20260815-161026.json,CAFREC,403092,,22912,0.0789,0.23606102635228848,0.8092944622039795,0.8916162252426147,0.7897278070449829,8.729050279329608e-06,0.18705918296089385,0.00390625
modal,CAFREC_kuairand_pure_ctx_prof7b_s2021_seed2021_20260825-140753.json,CAFREC,2021,,22912,0.0776,0.24840499306518724,0.8074953556060791,0.8841451406478882,0.7918736934661865,1.7458100558659216e-05,0.1698673184357542,0.0023524790502793295
modal,CAFREC_kuairand_pure_ctx_prof7b_s403092_seed403092_20260825-140756.json,CAFREC,403092,,22912,0.0778,0.2231622746185853,0.8079289197921753,0.8897045254707336,0.786309540271759,1.3093575418994413e-05,0.17822974860335195,0.004622032122905028
modal,CAFREC_kuairand_pure_ctx_shuffled_ctx_s2020_seed2020_20260916-193035.json,CAFREC,2020,512.0,22912,0.0796,0.2346740638002774,0.8076583743095398,0.8918712735176086,0.7763665914535522,0.0,0.2018505586592179,0.0038233240223463686
modal,CAFREC_kuairand_pure_ctx_shuffled_ctx_s2021_seed2021_20260916-193249.json,CAFREC,2021,512.0,22912,0.0801,0.22552011095700417,0.8104943037033081,0.8931874632835388,0.7791854739189148,0.0,0.18196141759776535,0.003238477653631285
modal,CAFREC_kuairand_pure_ctx_shuffled_ctx_s403092_seed403092_20260916-193309.json,CAFREC,403092,512.0,22912,0.0797,0.23897364771151178,0.8166579604148865,0.9009097814559937,0.7877166867256165,4.364525139664804e-06,0.19980796089385475,0.0023961243016759775
modal,CAFREC_kuairand_pure_ctx_standin_s2021_seed2021_20260825-140723.json,CAFREC,2021,,22912,0.0714,0.17475728155339806,0.8460496664047241,0.9220951795578003,0.8075690865516663,0.00011784217877094972,0.21453823324022347,0.005329085195530726
modal,CAFREC_kuairand_pure_ctx_standin_s403092_seed403092_20260825-141014.json,CAFREC,403092,,22912,0.0707,0.230374479889043,0.8417035341262817,0.9163582921028137,0.8121710419654846,0.00026187150837988826,0.18825942737430168,0.006725733240223464
modal,CAFREC_kuairand_pure_ctx_static_gate_s2020_seed2020_20260825-140734.json,CAFREC,2020,,22912,0.0781,0.20110957004160887,0.8161264657974243,0.8965539336204529,0.7881196737289429,2.1822625698324023e-05,0.20346106843575418,0.004495460893854749
modal,CAFREC_kuairand_pure_ctx_static_gate_s2021_seed2021_20260825-140802.json,CAFREC,2021,,22912,0.0744,0.19930651872399446,0.8205103278160095,0.9023674726486206,0.7982562780380249,4.364525139664804e-06,0.20801763268156426,0.003997905027932961
modal,CAFREC_kuairand_pure_ctx_static_gate_s403092_seed403092_20260825-140738.json,CAFREC,403092,,22912,0.0768,0.20180305131761442,0.8159663677215576,0.8975160717964172,0.7921187877655029,3.928072625698324e-05,0.1853919343575419,0.0038669692737430166
modal,CAFREC_kuairand_pure_ctx_vector_gate_s2020_seed2020_20260916-192757.json,CAFREC,2020,512.0,22912,0.0776,0.21234396671289876,0.8093091249465942,0.8916802406311035,0.7741219997406006,4.8009776536312846e-05,0.2010169343575419,0.0037665851955307264
modal,CAFREC_kuairand_pure_ctx_vector_gate_s2021_seed2021_20260916-192802.json,CAFREC,2021,512.0,22912,0.0761,0.2277392510402219,0.8067175149917603,0.8846300840377808,0.7872808575630188,3.055167597765363e-05,0.19037185754189945,0.0027365572625698323
